1
		Rooms	Brand	Parent Company	Property Name	Market Name	Submarket Name	Hotel Class	Scale	Operation Type	Constr Status	Operational Status	Expansion Rooms	Expansion Status Month	Expansion Status Year	Expansion Status	Property Address	City	State	Zip	Year Built	Year Renovated	Hotel Open Date	Data Participation	Mtg Rooms	Total Mtg Space	Max Contig Mtg Space	Hotel Location Type	Secondary Type	All-Inclusive	All-Suites	Primary Corridors	Number Of Stories	Number Of Parking Spaces	Parking Spaces/Room	FEMA Map Date	FEMA Map Identifier	FIRM ID	FIRM Panel Number	In SFHA	Floodplain Area	Owner Name	Owner Phone	Owner Contact	Owner Address	Owner City State Zip	Property Location	True Owner Address	True Owner City State Zip	True Owner Name	True Owner Contact	True Owner Phone
		130	Homewood Suites by Hilton	Hilton Worldwide	Homewood Suites by Hilton DFW Airport South	Fort Worth/Arlington, TX	Bedford/Grapevine	Upscale	Upscale	Franchise	Existing	Open					4600 Hwy 360	Fort Worth	TX	76155	2021		05/28/2021	Monthly & Daily				Airport	Hotel	No	Yes	Interior	4	123	0.946	03/21/2019	48439C0235L	48439C	0235L	No	100-year and 500-year Floodplain	Whitestone Hospitality	9726008162		1200 W Walnut Hill Ln Suite # 2525	Irving, TX 75038-3029		1200 W Walnut Hill Ln Suite # 2525	Irving, TX 75038-3029	Whitestone Hospitality		9726008162
		126	Hyatt Place	Hyatt Corporation	Hyatt Place San Antonio-Northwest/Medical Center	San Antonio, TX	San Antonio Northwest	Upscale	Upscale	Franchise	Existing	Open					4303 Hyatt Place Dr	San Antonio	TX	78230-3134	1996	2024	11/01/1996	Monthly & Daily	2	1,127	760	Suburban	Hotel	No	Yes	Interior	6	125	0.992	09/29/2010	48029C0240G	48029C	0240G	No	100-year and 500-year Floodplain	Arjunani, PLLC	7135529499	Angeli Arjunani	3050 Post Oak Blvd Suite # 1350	Houston, TX 77056-6527		3050 Post Oak Blvd Suite # 1350	Houston, TX 77056-6527	Arjunani, PLLC	Angeli Arjunani	7135529499
		522	Hyatt Regency	Hyatt Corporation	Hyatt Regency Hill Country Resort and Villas	San Antonio, TX	Seaworld/Lackland AFB	Upper Upscale	Upper Upscale	Chain Management	Existing	Open					9800 Hyatt Resort Dr	San Antonio	TX	78251	1993	2025	02/24/1993	Monthly & Daily	34	54,477	20,200	Resort	Hotel	No	No	Interior	4	775	1.485	09/29/2010	48029C0360G	48029C	0360G	Yes	100-year Floodplain	Woodbine Development Corporation	2148556000	Greg Mowatt	1845 WOODALL RODGERS Fwy	Dallas, TX 75201-2239		1845 WOODALL RODGERS Fwy	Dallas, TX 75201-2239	Woodbine Development Corporation	Greg Mowatt	2148556000
		261	Embassy Suites by Hilton	Hilton Worldwide	Embassy Suites by Hilton Austin Central	Austin, TX	Austin US-290/I-35 Area	Upper Upscale	Upper Upscale	Franchise	Existing	Open					5901 N IH-35	Austin	TX	78723	1984	2018	03/01/1984	Monthly & Daily	8	7,165	5,600	Urban	Hotel	No	Yes	Interior	9	335	1.284	01/06/2016	48453C0455J	48453C	0455J	No	100-year and 500-year Floodplain	Copford Capital Management	7207764970		4949 N Niagara St	Denver, CO 80237		4949 N Niagara St	Denver, CO 80237	Copford Capital Management		7207764970
		211	Marriott	Marriott International	Austin Marriott South	Austin, TX	South Austin/Airport	Upper Upscale	Upper Upscale	Franchise	Existing	Open					4415 S IH-35	Austin	TX	78744	2000	2012	08/15/2001	Monthly & Daily	12	9,544	5,280	Suburban	Hotel	No	No	Interior	5	206	0.976	09/26/2008	48453C0585H	48453C	0585H	No	100-year and 500-year Floodplain	JRK Property Holdings	3102688344		11766 Wilshire Blvd Suite # 1500	Los Angeles, CA 90025-6538		11766 Wilshire Blvd Suite # 1500	Los Angeles, CA 90025-6538	JRK Property Holdings		3102688344
		110	Home2 Suites by Hilton	Hilton Worldwide	Home2 Suites by Hilton San Antonio Lackland SeaWorld	San Antonio, TX	Seaworld/Lackland AFB	Upper Midscale	Upper Midscale	Franchise	Existing	Open					9911 Ingram Rd	San Antonio	TX	78245-4088	2018	2021	09/01/2019	Monthly & Daily				Suburban	Hotel	No	Yes	Interior	5	157	1.427	09/29/2010	48029C0365F	48029C	0365F	No	100-year and 500-year Floodplain	Baywood Hotels Inc	3013458700		9130 Guilford Rd Suite # A	Columbia, MD 21046-1803		9130 Guilford Rd Suite # A	Columbia, MD 21046-1803	Baywood Hotels Inc		3013458700
		73	Tru by Hilton	Hilton Worldwide	Tru by Hilton San Antonio Lackland SeaWorld	San Antonio, TX	Seaworld/Lackland AFB	Midscale	Midscale	Franchise	Existing	Open					9911 Ingram Rd	San Antonio	TX	78245	2018	2021	09/05/2019	Monthly & Daily				Suburban	Hotel	No	No	Interior	4	172	2.356	09/29/2010	48029C0365F	48029C	0365F	No	100-year and 500-year Floodplain	Baywood Hotels Inc	3013458700		9130 Guilford Rd Suite # A	Columbia, MD 21046-1803		9130 Guilford Rd Suite # A	Columbia, MD 21046-1803	Baywood Hotels Inc		3013458700
		811	Hyatt Regency	Hyatt Corporation	Hyatt Regency DFW International Airport	Fort Worth/Arlington, TX	Bedford/Grapevine	Upper Upscale	Upper Upscale	Chain Management	Existing	Open					2334 N International Pky	Dallas	TX	75261-9014	1980	2012	10/01/1986	Monthly & Daily	21	67,251	21,120	Airport	Hotel	No	No	Interior	14	500	0.617	07/07/2014	48113C0145K	48439C	0145K	No	100-year and 500-year Floodplain	Castlelake	6128513000		250 Nicollet Mall St Suite # 900	Minneapolis, MN 55401		250 Nicollet Mall St Suite # 900	Minneapolis, MN 55401	Castlelake		6128513000
		315	Grand Hyatt	Hyatt Corporation	Grand Hyatt Dallas Fort Worth Airport	Fort Worth/Arlington, TX	Bedford/Grapevine	Luxury	Luxury	Chain Management	Existing	Open					2337 S International Pky	Dallas	TX	75261	2005	2026	07/01/2005	Monthly & Daily	28	34,000	6,600	Airport	Hotel	No	No	Interior	12			07/07/2014	48113C0145K	48439C	0145K	No	100-year and 500-year Floodplain	DFW Airport Headquarters	9729734644		2400 Aviation Dr	Dallas, TX 75261		2400 Aviation Dr	Dallas, TX 75261	DFW Airport Headquarters		9729734644
		107	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites San Antonio Northwest/Medical Center	San Antonio, TX	San Antonio Northwest	Upper Midscale	Upper Midscale	Franchise	Existing	Open					11426 W Interstate 10	San Antonio	TX	78230-1043	2008		10/01/2009	Monthly & Daily	1	396	396	Suburban	Hotel	No	No	Interior	4	115	1.075	09/29/2010	48029C0240G	48029C	0240G	No	100-year and 500-year Floodplain	Raj Patel	2626351364	Raj Patel	503 Gladney Dr	San Marcos, TX 78666		503 Gladney Dr	San Marcos, TX 78666	Raj Patel	Raj Patel	2626351364
		75	Spark by Hilton	Hilton Worldwide	Spark by Hilton San Antonio Dominion	San Antonio, TX	San Antonio Northwest	Midscale	Midscale	Franchise	Existing	Open					25042 W Interstate 10	San Antonio	TX	78257-9522	2008	2024	09/01/2008	Monthly & Daily		0	0	Suburban	Hotel	No	No	Interior	3	79	1.053	12/17/2010	48259C0525F	48029C	0525F	No	100-year and 500-year Floodplain	Dominion Hotel Management	2103253938	Hiren Patel	25042 W Interstate 10	San Antonio, TX 78257-9522		25042 W Interstate 10	San Antonio, TX 78257-9522	Dominion Hotel Management	Hiren Patel	2103253938
		90	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites San Marcos	Austin, TX	San Marcos/Austin Surrounding	Upper Midscale	Upper Midscale	Franchise	Existing	Open					106 Interstate 35 N	San Marcos	TX	78666	2003		05/01/2003	Monthly & Daily	2	1,200	900	Interstate	Hotel	No	No	Interior	4	86	0.956	01/17/2025	48209C0481G	48209C	0481G	No	500-year Floodplain	Stonebridge Hotels	5128053759	Shilpa Amin	5000 Mission Oaks Blvd	Austin, TX 78735-6745		5000 Mission Oaks Blvd	Austin, TX 78735-6745	Stonebridge Hotels	Shilpa Amin	5128053759
		149	DoubleTree by Hilton	Hilton Worldwide	DoubleTree by Hilton Hotel Austin - University Area	Austin, TX	Austin CBD	Upscale	Upscale	Franchise	Existing	Open					1617 N Interstate 35	Austin	TX	78702-1005	1997	2016	09/12/1997	Monthly & Daily	5	3,877	1,485	Urban	Hotel	No	No	Interior	6	142	0.953	01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	Pinnacle Hotels USA, Inc.	8589748201	Barry (Bharat) Lall	8369 Vickers St Suite # 210	San Diego, CA 92111-2113		8369 Vickers St Suite # 210	San Diego, CA 92111-2113	Pinnacle Hotels USA, Inc.	Barry (Bharat) Lall	8589748201
		107	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn San Marcos	Austin, TX	San Marcos/Austin Surrounding	Upscale	Upscale	Franchise	Existing	Open					2131 N Interstate 35	San Marcos	TX	78666	2017		04/21/2017	Monthly & Daily	5	5,600	2,540	Interstate	Hotel	No	No	Interior	4	112	1.047	12/30/2020	48055C0069F	48209C	0069F	Yes	100-year Floodplain	Partners	7136290500		5847 San Felipe St Suite # 1400	Houston, TX 77057-3000		5847 San Felipe St Suite # 1400	Houston, TX 77057-3000	Partners		7136290500
		350	DoubleTree by Hilton	Hilton Worldwide	DoubleTree by Hilton Hotel Austin	Austin, TX	Austin US-290/I-35 Area	Upscale	Upscale	Franchise	Existing	Open					6505 N Interstate 35	Austin	TX	78752	1983	2024	04/01/1983	Monthly & Daily	8	21,288	10,640	Urban	Hotel	No	No	Interior	6	598	1.709	01/06/2016	48453C0455J	48453C	0455J	No	100-year and 500-year Floodplain	Mohr Capital	9722390394		4851 Lyndon B Johnson Fwy Suite # 900	Dallas, TX 75244-6004		4851 Lyndon B Johnson Fwy Suite # 900	Dallas, TX 75244-6004	Mohr Capital		9722390394
		76	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites San Antonio/Northeast I-35	San Antonio, TX	San Antonio Northeast	Upper Midscale	Upper Midscale	Franchise	Existing	Open					6718 N Interstate 35	San Antonio	TX	78218-3868	2009		08/10/2010	Monthly & Daily	1	650	650	Suburban	Hotel	No	No	Interior	4	69	0.908	06/19/2020	48029C0407H	48029C	0407H	No	100-year and 500-year Floodplain	RGB Hospitality	3612413646	Raju Bhagat	105 N Magnolia St Suite # U	Rockport, TX 78382-2748	San Antonio West/Loop 410 & Hwy 151	105 N Magnolia St Suite # U	Rockport, TX 78382-2748	RGB Hospitality	Raju Bhagat	3612413646
		121	Hampton by Hilton	Hilton Worldwide	Hampton Inn Austin-North @ I-35 & Hwy 183	Austin, TX	Austin US-290/I-35 Area	Upper Midscale	Upper Midscale	Franchise	Existing	Open					7619 N Interstate 35	Austin	TX	78752-1629	1987		07/01/1987	Monthly & Daily	1	552	552	Urban	Hotel	No	No	Interior	4	127	1.050	01/06/2016	48453C0455J	48453C	0455J	Yes	100-year Floodplain	Namit J Jaiswal	9794225450	Namit Jaiswal	1231 Melford Dr	Houston, TX 77077		1231 Melford Dr	Houston, TX 77077	Namit J Jaiswal	Namit Jaiswal	9794225450
		117	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Austin North	Austin, TX	Austin US-290/I-35 Area	Upscale	Upscale	Franchise	Existing	Open					12400 N Interstate 35	Austin	TX	78753	2008		05/30/2008	Monthly & Daily	4	1,755	1,058	Suburban	Hotel	No	No	Interior	5	117	1.000	08/18/2014	48453C0270J	48453C	0270J	No	100-year and 500-year Floodplain	Legacy Management LLC	6057255262		1910 8th Ave NE	Aberdeen, SD 57401-3207		1910 8th Ave NE	Aberdeen, SD 57401-3207	Legacy Management LLC		6057255262
		158	Aiden by Best Western	BWH Hotels	Aiden Austin City Hotel	Austin, TX	Austin CBD	Upscale	Upscale	Franchise	Existing	Open					2200 S Interstate 35	Austin	TX	78704	1974	2019	09/01/1974	Monthly	5	5,060	3,872	Suburban	Hotel	No	No	Interior	3	230	1.456	01/22/2020	48453C0605K	48453C	0605K	No	100-year and 500-year Floodplain	Courtesy Hospitality Group	3106755553		642 West Manchester Blvd	Inglewood, CA 90301		642 West Manchester Blvd	Inglewood, CA 90301	Courtesy Hospitality Group		3106755553
		254	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Austin Downtown	Austin, TX	Austin CBD	Upscale	Upscale	Franchise	Existing	Open					500 N Interstate H35	Austin	TX	78701-3702	1984	2007	06/01/1985	Monthly & Daily	5	9,022	4,131	Urban	Hotel	No	No	Interior	18	300	1.181	01/22/2020	48453C0465K	48453C	0465K	Yes	100-year Floodplain	Ashford Hospitality Trust, Inc.	9724909600		14185 Dallas Pky Suite # 1200	Dallas, TX 75254-1319		14185 Dallas Pky Suite # 1200	Dallas, TX 75254-1319	Ashford Hospitality Trust, Inc.		9724909600
		55	Hampton by Hilton	Hilton Worldwide	Hampton Inn Corpus Christi-Northwest I-37	Texas South	Corpus Christi	Upper Midscale	Upper Midscale	Franchise	Existing	Open					11233 Interstate Highway 37	Corpus Christi	TX	78410	2004		05/01/2004	Monthly & Daily	1	624	624	Interstate	Hotel	No	No	Interior	3	49	0.891	10/13/2022	48355C0280G	48355C	0280G	No	100-year and 500-year Floodplain	Saka Ents Llc		Nalin Bhakta	11233 Ih 37	Corpus Christi, TX 78410-3302		11233 Ih 37	Corpus Christi, TX 78410-3302	Saka Ents Llc	Nalin Bhakta
		140	AC Hotels by Marriott	Marriott International	AC Hotels by Marriott Dallas by the Galleria	Dallas, TX	Dallas North Central/LBJ Freeway	Upscale	Upscale	Franchise	Existing	Open					5460 James Temple Dr	Dallas	TX	75240	2018		04/01/2018	Monthly & Daily	9	10,880	3,869	Suburban	Hotel	No	No	Interior	5			07/07/2014	48113C0190K	48113C	0190K	No	100-year and 500-year Floodplain	Pacific Hospitality Group Ventures, Inc.	9498614700		2532 DuPont Dr	Irvine, CA 92612-1524		2532 DuPont Dr	Irvine, CA 92612-1524	Pacific Hospitality Group Ventures, Inc.		9498614700
		182	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Houston/Bush Intercontinental Airport	Houston, TX	George Bush Airport Area	Upscale	Upscale	Franchise	Existing	Open					15400 John F Kennedy Blvd	Houston	TX	77032	2000	2013	02/01/2002	Monthly & Daily	2	2,700	1,350	Airport	Hotel	No	No	Interior	6	193	1.060	06/09/2014	48201C0480M	48201C	0480M	No	100-year and 500-year Floodplain	Lodging Fund REIT III	7016306500		1635 43rd St S Suite # 205	Fargo, ND 58103-3317		1635 43rd St S Suite # 205	Fargo, ND 58103-3317	Lodging Fund REIT III		7016306500
		313	DoubleTree by Hilton	Hilton Worldwide	DoubleTree by Hilton Hotel Houston Intercontinental Airport	Houston, TX	George Bush Airport Area	Upscale	Upscale	Franchise	Existing	Open					15747 John F Kennedy Blvd	Houston	TX	77032	1980	2005	06/01/1981	Monthly & Daily	9	14,793	6,875	Airport	Hotel	No	No	Interior	6	320	1.022	06/09/2014	48201C0480M	48201C	0480M	No	100-year and 500-year Floodplain	The Ecclestone Organization, Inc.	5618416976	Llwyd Ecclestone	1555 Palm Beach Lakes Blvd Suite # 1100	West Palm Beach, FL 33401-2323		1555 Palm Beach Lakes Blvd Suite # 1100	West Palm Beach, FL 33401-2323	The Ecclestone Organization, Inc.	Llwyd Ecclestone	5618416976
		98	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites Houston-Bush Intercontinental Aprt	Houston, TX	George Bush Airport Area	Upper Midscale	Upper Midscale	Franchise	Existing	Open					15831 John F Kennedy Blvd	Houston	TX	77032	2006		11/01/2006	Monthly & Daily	1	600	600	Airport	Hotel	No	No	Interior	4	76	0.776	06/09/2014	48201C0480M	48201C	0480M	No	100-year and 500-year Floodplain	HoustonAustin Investments LLC	2815656959	Amirali Zindani	7106 Tessa Lakes Ct	Sugar Land, TX 77479    		7106 Tessa Lakes Ct	Sugar Land, TX 77479    	HoustonAustin Investments LLC	Amirali Zindani	2815656959
		573	Marriott	Marriott International	Houston Airport Marriott at George Bush Intercontinental	Houston, TX	George Bush Airport Area	Upper Upscale	Upper Upscale	Chain Management	Existing	Open					18700 John F Kennedy Blvd	Houston	TX	77032	1970	2016	07/17/1982	Monthly	39	31,408	6,541	Airport	Hotel	No	No	Interior	7			06/09/2014	48201C0480M	48201C	0480M	Yes	100-year Floodplain	Host Hotels & Resorts, Inc.	2407441000		4747 Bethesda Ave Suite # 1300	Bethesda, MD 20814		4747 Bethesda Ave Suite # 1300	Bethesda, MD 20814	Host Hotels & Resorts, Inc.		2407441000
		100	Spark by Hilton	Hilton Worldwide	Spark by Hilton Houston Bush Intercontinental Airport	Houston, TX	George Bush Airport Area	Midscale	Midscale	Franchise	Existing	Open					15615 John F. Kennedy Blvd	Houston	TX	77032	1997	2024	08/01/1997	Monthly & Daily	1	650	650	Airport	Hotel	No	No	Interior	3	126	1.260	06/09/2014	48201C0480M	48201C	0480M	No	100-year and 500-year Floodplain	CBBK Hospitality, LLC		Sanjay Patel	14618 Lindale Rose Ln	Humble, TX 77396-4281		14618 Lindale Rose Ln	Humble, TX 77396-4281	CBBK Hospitality, LLC	Sanjay Patel
		149	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Austin Airport	Austin, TX	South Austin/Airport	Upscale	Upscale	Franchise	Existing	Open					7610 John Glenn Way	Austin	TX	78741-4539	2017		10/01/2017	Monthly & Daily	5	7,550	3,600	Airport	Hotel	No	No	Interior	5	156	1.047	01/22/2020	48453C0605K	48453C	0605K	No	100-year and 500-year Floodplain	Humble Origins Hospitality Management	5125909957	Vijay Patel	6403 W Highway 290	Austin, TX 78735-8502		6403 W Highway 290	Austin, TX 78735-8502	Humble Origins Hospitality Management	Vijay Patel	5125909957
		121	Tru by Hilton	Hilton Worldwide	Tru by Hilton Austin NW Arboretum	Austin, TX	Austin Northwest/Arboretum	Midscale	Midscale	Franchise	Existing	Open					11603 Jollyville Rd	Austin	TX	78759-3933	2022		12/13/2022	Monthly & Daily				Suburban	Hotel	No	No	Interior	4	123	1.017	01/06/2016	48453C0265K	48453C	0265K	No	100-year and 500-year Floodplain	Lodgic Hospitality	2815168226	Anand Patel	601 W Texas Ave	Webster, TX 77598		601 W Texas Ave	Webster, TX 77598	Lodgic Hospitality	Anand Patel	2815168226
		106	Hampton by Hilton	Hilton Worldwide	Hampton by Hilton Inn & Suites San Antonio-Airport	San Antonio, TX	San Antonio Airport	Upper Midscale	Upper Midscale	Franchise	Existing	Open					8902 Jones-maltsberger Rd	San Antonio	TX	78216	2005		12/01/2006	Monthly & Daily	1	675	675	Airport	Hotel	No	No	Interior	4	200	1.887	06/19/2020	48029C0263H	48029C	0263H	Yes	100-year Floodplain	Baywood Hotels Inc	3013458700		9130 Guilford Rd Suite # A	Columbia, MD 21046-1803		9130 Guilford Rd Suite # A	Columbia, MD 21046-1803	Baywood Hotels Inc		3013458700
		98	Hampton by Hilton	Hilton Worldwide	Hampton by Hilton & Suites Houston East Beltway 8	Houston, TX	Houston East/Baytown	Upper Midscale	Upper Midscale	Franchise	Existing	Open					14120 Karissa Ct	Houston	TX	77049-3866	2021		04/29/2021	Monthly & Daily	1	2,765	2,765	Suburban	Hotel	No	No	Interior	4	98	1.000	01/06/2017	48201C0710M	48201C	0710M	No	100-year and 500-year Floodplain	Krishna Karissa LLC								Krishna Karissa LLC
		126	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites Houston Heights I-10	Houston, TX	Katy Freeway West	Upper Midscale	Upper Midscale	Franchise	Existing	Open					5820 Katy Fwy	Houston	TX	77007	1968	2017	04/01/2013	Monthly & Daily	2	3,635	2,459	Urban	Hotel	No	No	Interior	4	79	0.627	06/09/2014	48201C0670M	48201C	0670M	No	100-year and 500-year Floodplain	RASV Hospitality, Inc.	7139236900	Mahesh Patel	16425 Jersey Hollow Dr	Houston, TX 77040    		16425 Jersey Hollow Dr	Houston, TX 77040    	RASV Hospitality, Inc.	Mahesh Patel	7139236900
		120	Homewood Suites by Hilton	Hilton Worldwide	Homewood Suites by Hilton Houston Memorial	Houston, TX	Katy Freeway West	Upscale	Upscale	Franchise	Existing	Open					9450 Katy Fwy	Houston	TX	77055-6320	2018		05/01/2018	Monthly & Daily	1	624	624	Suburban	Hotel	No	Yes	Interior	4			06/18/2007	48201C0645L	48201C	0645L	No	100-year and 500-year Floodplain	Frost Properties Ltd.	7136588000	Ford Frost	1221 Lamar Ave Suite # 1350	Houston, TX 77010-3000		1221 Lamar Ave Suite # 1350	Houston, TX 77010-3000	Frost Properties Ltd.	Ford Frost	7136588000
		216	Embassy Suites by Hilton	Hilton Worldwide	Embassy Suites by Hilton Houston Energy Corridor	Houston, TX	Katy Freeway West	Upper Upscale	Upper Upscale	Franchise	Existing	Open					11730 Katy Fwy	Houston	TX	77079	2009	2015	11/01/2009	Monthly & Daily	11	10,531	4,464	Suburban	Hotel	No	Yes	Interior	16	368	1.704	11/15/2019	48201C0640M	48201C	0640M	No	100-year and 500-year Floodplain	Mac Haik Enterprises	2814967788		11750 Katy Fwy Suite # 1300	Houston, TX 77079-1298		11750 Katy Fwy Suite # 1300	Houston, TX 77079-1298	Mac Haik Enterprises		2814967788
		190	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Houston Energy Corridor	Houston, TX	Katy Freeway West	Upscale	Upscale	Franchise	Existing	Open					12245 Katy Fwy	Houston	TX	77079	2008	2022	09/01/2008	Monthly & Daily	7	3,999	2,508	Suburban	Hotel	No	No	Interior	5	210	1.105	11/15/2019	48201C0640M	48201C	0640M	No	100-year and 500-year Floodplain	Summit Hotel Properties Inc	5125382300		13215 Bee Cave Pky Suite # B-300	Bee Cave, TX 78738-6333		13215 Bee Cave Pky Suite # B-300	Bee Cave, TX 78738-6333	Summit Hotel Properties Inc		5125382300
		400	Hyatt Regency	Hyatt Corporation	Hyatt Regency Houston West	Houston, TX	Katy Freeway West	Upper Upscale	Upper Upscale	Franchise	Existing	Open					13210 Katy Fwy	Houston	TX	77079	1983	2025	12/01/1983	Monthly & Daily	24	18,729	9,800	Suburban	Hotel	No	No	Interior	5	331	0.828	11/15/2019	48201C0640M	48201C	0640M	No	100-year and 500-year Floodplain	Jubilee Hospitality LLC	7133917259		27 Waterford Pointe Cir	Sugar Land, TX 77479-5663		27 Waterford Pointe Cir	Sugar Land, TX 77479-5663	Jubilee Hospitality LLC		7133917259
		206	Marriott	Marriott International	Marriott Houston Energy Corridor	Houston, TX	Katy Freeway West	Upper Upscale	Upper Upscale	Franchise	Existing	Open					16011 Katy Fwy	Houston	TX	77094	2010	2026	01/08/2010	Monthly & Daily	7	8,664	3,906	Suburban	Hotel	No	No	Interior	10	373	1.811	11/15/2019	48201C0620M	48201C	0620M	Yes	100-year Floodplain	SLTX Capital	2812422000		16160-16250 City Walk Suite # 712	Sugar Land, TX 77479-6571		16160-16250 City Walk Suite # 712	Sugar Land, TX 77479-6571	SLTX Capital		2812422000
		208	Embassy Suites by Hilton	Hilton Worldwide	Embassy Suites by Hilton Houston West - Katy	Houston, TX	Katy Freeway West	Upper Upscale	Upper Upscale	Franchise	Existing	Open					16435 Katy Fwy	Houston	TX	77094	2017		12/01/2017	Monthly & Daily	7	7,071	4,416	Suburban	Hotel	No	Yes	Interior	16	261	1.255	11/15/2019	48201C0620M	48201C	0620M	Yes	100-year Floodplain	Mac Haik Enterprises	2814967788	Mac Haik	11750 Katy Fwy Suite # 1300	Houston, TX 77079-1298		11750 Katy Fwy Suite # 1300	Houston, TX 77079-1298	Mac Haik Enterprises	Mac Haik	2814967788
		496	Signia by Hilton	Hilton Worldwide	Signia by Hilton La Cantera Resort & Spa	San Antonio, TX	San Antonio Northwest	Luxury	Luxury	Chain Management	Existing	Open		6	2024	Under Construction	16641 La Cantera Pkwy	San Antonio	TX	78256-2401	1999	2025	05/01/1999	Monthly & Daily	16	47,153	17,088	Suburban	Hotel	No	No	Interior	7	986	1.988	09/29/2010	48029C0210G	48029C	0210G	Yes	100-year Floodplain	Ohana Real Estate Investors	6506810185		1991 Broadway St	Redwood City, CA 94063-1994		1991 Broadway St	Redwood City, CA 94063-1994	Ohana Real Estate Investors		6506810185
		1207	Hilton	Hilton Worldwide	Hilton Americas - Houston	Houston, TX	Houston CBD	Upper Upscale	Upper Upscale	Chain Management	Existing	Open					1600 Lamar St	Houston	TX	77010	2003		12/01/2003	Monthly & Daily	25	91,500	39,138	Urban	Hotel	No	No	Interior	12	1030	0.853	01/06/2017	48201C0690N	48201C	0690N	No	100-year and 500-year Floodplain	Houston First Corporation	7138538000	Richard Campo	1001 Avenida de las Americas	Houston, TX 77010-6035		1001 Avenida de las Americas	Houston, TX 77010-6035	Houston First Corporation	Richard Campo	7138538000
		203	Embassy Suites by Hilton	Hilton Worldwide	Embassy Suites by Hilton San Antonio Landmark	San Antonio, TX	San Antonio Northwest	Upper Upscale	Upper Upscale	Franchise	Existing	Open					5615 Landmark Pky	San Antonio	TX	78249	2018		07/01/2018	Monthly & Daily	14	9,639	5,795	Suburban	Hotel	No	Yes	Interior	8			09/29/2010	48029C0230G	48029C	0230G	No	100-year and 500-year Floodplain	Zachry Corporation	2108712700	David Zachry	14410 Wurzbach Pky Suite # 120	San Antonio, TX 78216		14410 Wurzbach Pky Suite # 120	San Antonio, TX 78216	Zachry Corporation	David Zachry	2108712700
		137	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites Austin @ The University/Capitol	Austin, TX	Austin CBD	Upper Midscale	Upper Midscale	Franchise	Existing	Open					1701 Lavaca St	Austin	TX	78701	2012	2019	10/18/2012	Monthly & Daily	1	760	760	Urban	Hotel	No	No	Interior	8	206	1.504	01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	Peachtree Group	4044974111		3500 Lenox Rd Suite # 625	Atlanta, GA 30326-4228		3500 Lenox Rd Suite # 625	Atlanta, GA 30326-4228	Peachtree Group		4044974111
		120	Home2 Suites by Hilton	Hilton Worldwide	Home2 Suites by Hilton Houston Downtown Convention Center	Houston, TX	Houston CBD	Upper Midscale	Upper Midscale	Franchise	Existing	Open					1540 Leeland St	Houston	TX	77002	2025		03/19/2025	Monthly & Daily	1	870	870	Urban	Hotel	No	Yes	Interior	4			01/06/2017	48201C0880M	48201C	0880M	No	100-year and 500-year Floodplain	PA Hospitality	7132564183	Alif Maredia	10500 Katy Fwy	Houston, TX 77024		10500 Katy Fwy	Houston, TX 77024	PA Hospitality	Alif Maredia	7132564183
		101	Tru by Hilton	Hilton Worldwide	Tru by Hilton Houston Downtown Convention Center	Houston, TX	Houston CBD	Midscale	Midscale	Franchise	Existing	Open					1540 Leeland St	Houston	TX	77002	2025		03/19/2025	Monthly & Daily	1	870	870	Urban	Hotel	No	No	Interior	9			01/06/2017	48201C0880M	48201C	0880M	No	100-year and 500-year Floodplain	PA Hospitality	7132564183	Alif Maredia	10500 Katy Fwy	Houston, TX 77024		10500 Katy Fwy	Houston, TX 77024	PA Hospitality	Alif Maredia	7132564183
		111	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Waco	Texas Central	Waco	Upscale	Upscale	Franchise	Existing	Open					5800 Legend Lake Pky	Waco	TX	76712	2018		09/13/2018	Monthly & Daily	5	6,782	3,360	Suburban	Hotel	No	No	Interior	4	97	0.874	12/20/2019	48309C0535D	48309C	0535D	No	100-year and 500-year Floodplain	Lalani Lodging	9406929885	Munir A. Lalani	5400 Bosque Blvd Suite # 202	Waco, TX 76710-4482		5400 Bosque Blvd Suite # 202	Waco, TX 76710-4482	Lalani Lodging	Munir A. Lalani	9406929885
